dt,datetime,temp,feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon
1667278800,2022-11-01 07:00:00,10.54000000000002,9.610000000000014,1017,75,7.010000000000048,12.830000000000041,1.54,50,0,800,Clear,clear sky,01d
1667282400,2022-11-01 08:00:00,11.210000000000036,10.32000000000005,1017,74,8.010000000000048,13.379999999999995,1.54,30,0,800,Clear,clear sky,01d
1667286000,2022-11-01 09:00:00,13.730000000000018,12.930000000000007,1018,68,11.050000000000011,15.050000000000011,2.24,40,0,800,Clear,clear sky,01d
1667289600,2022-11-01 10:00:00,15.850000000000023,15.080000000000041,1017,61,13.050000000000011,17.220000000000027,2.68,50,0,800,Clear,clear sky,01d
1667293200,2022-11-01 11:00:00,17.700000000000045,16.99000000000001,1018,56,16.05000000000001,18.33000000000004,2.24,90,0,800,Clear,clear sky,01d
1667296800,2022-11-01 12:00:00,19.700000000000045,19.010000000000048,1017,49,17.79000000000002,21.720000000000027,1.54,0,0,800,Clear,clear sky,01d
1667300400,2022-11-01 13:00:00,21.220000000000027,20.600000000000023,1015,46,19.920000000000016,22.83000000000004,1.54,0,0,800,Clear,clear sky,01d
1667304000,2022-11-01 14:00:00,22.129999999999995,21.55000000000001,1017,44,22.010000000000048,22.27000000000004,2.57,210,0,800,Clear,clear sky,01d
1667307600,2022-11-01 15:00:00,22.33000000000004,21.82000000000005,1015,46,22.010000000000048,22.700000000000045,2.06,200,0,800,Clear,clear sky,01d
1667311200,2022-11-01 16:00:00,21.879999999999995,21.350000000000023,1016,47,21.05000000000001,22.700000000000045,2.24,230,0,800,Clear,clear sky,01d
1667314800,2022-11-01 17:00:00,20.32000000000005,19.77000000000004,1014,52,18.939999999999998,22.010000000000048,2.06,250,0,800,Clear,clear sky,01d
1667318400,2022-11-01 18:00:00,18.80000000000001,18.200000000000045,1015,56,17.05000000000001,20.610000000000014,0.51,0,0,800,Clear,clear sky,01n
1667322000,2022-11-01 19:00:00,17.230000000000018,16.629999999999995,1015,62,15.050000000000011,20.05000000000001,0.51,0,0,800,Clear,clear sky,01n
1667325600,2022-11-01 20:00:00,15.82000000000005,15.230000000000018,1016,68,13.939999999999998,17.700000000000045,1.54,280,0,800,Clear,clear sky,01n
1667329200,2022-11-01 21:00:00,15.760000000000048,15.140000000000043,1015,67,12.050000000000011,18.939999999999998,1.03,240,0,800,Clear,clear sky,01n
1667332800,2022-11-01 22:00:00,15.340000000000032,14.730000000000018,1014,69,11.050000000000011,18.379999999999995,2.06,240,0,800,Clear,clear sky,01n
1667336400,2022-11-01 23:00:00,14.730000000000018,14.110000000000014,1014,71,11.050000000000011,17.83000000000004,2.06,230,0,800,Clear,clear sky,01n
1667340000,2022-11-02 00:00:00,13.78000000000003,13.120000000000005,1014,73,9.050000000000011,16.720000000000027,1.03,260,0,800,Clear,clear sky,01n
1667343600,2022-11-02 01:00:00,13.410000000000025,12.760000000000048,1013,75,10.050000000000011,16.160000000000025,3.09,260,15,801,Clouds,few clouds,02n
1667347200,2022-11-02 02:00:00,13.150000000000034,12.480000000000018,1013,75,10.050000000000011,15.610000000000014,2.57,250,14,801,Clouds,few clouds,02n
1667350800,2022-11-02 03:00:00,13.0,12.310000000000002,1013,75,10.050000000000011,15.480000000000018,2.57,250,0,800,Clear,clear sky,01n
1667354400,2022-11-02 04:00:00,13.700000000000045,13.010000000000048,1012,72,9.050000000000011,15.480000000000018,2.57,270,14,701,Mist,mist,50n
1667358000,2022-11-02 05:00:00,13.050000000000011,12.340000000000032,1012,74,9.050000000000011,14.920000000000016,2.06,270,0,800,Clear,clear sky,01n
1667361600,2022-11-02 06:00:00,11.980000000000018,11.240000000000009,1011,77,10.050000000000011,12.830000000000041,2.68,280,0,800,Clear,clear sky,01n
1667365200,2022-11-02 07:00:00,12.090000000000032,11.340000000000032,1012,76,10.050000000000011,13.25,3.6,260,0,800,Clear,clear sky,01d
1667368800,2022-11-02 08:00:00,12.170000000000016,11.400000000000034,1012,75,10.050000000000011,13.25,4.12,260,0,800,Clear,clear sky,01d
1667372400,2022-11-02 09:00:00,15.450000000000045,14.75,1012,65,12.050000000000011,16.590000000000032,3.6,260,0,800,Clear,clear sky,01d
1667376000,2022-11-02 10:00:00,18.870000000000005,18.33000000000004,1011,58,16.010000000000048,21.03000000000003,5.14,250,0,800,Clear,clear sky,01d
1667379600,2022-11-02 11:00:00,20.02000000000004,19.57000000000005,1011,57,18.900000000000034,21.160000000000025,4.63,250,0,800,Clear,clear sky,01d
1667383200,2022-11-02 12:00:00,22.140000000000043,21.77000000000004,1012,52,21.590000000000032,22.77000000000004,1.54,310,0,800,Clear,clear sky,01d
1667386800,2022-11-02 13:00:00,24.650000000000034,24.370000000000005,1010,46,22.010000000000048,26.100000000000023,2.68,120,0,800,Clear,clear sky,01d
